State,Dose 1,Dose 2,Total Vaccination Doses
Andhra Pradesh,14871913,4601809,19473722
Arunachal Pradesh,650132,156649,806781
Assam,7851373,1683402,9534775
Bihar,18386444,3329911,21716355
Chhattisgarh,9183532,2169304,11352836
Goa,1005102,238765,1243867
Gujarat,23752266,7272636,31024902
Haryana,8769778,2171924,10941702
Himachal Pradesh,3697712,1143545,4841257
Jharkhand,7008369,1568872,8577241
Karnataka,22756318,5803394,28559712
Kerala,12585908,5390415,17976323
Madhya Pradesh,22489601,4369689,26859290
Maharashtra,31160321,9695962,40856283
Manipur,1010781,145103,1155884
Meghalaya,828446,158856,987302
Mizoram,626386,170442,796828
Nagaland,589807,134473,724280
Odisha,11694674,3550110,15244784
Punjab,7417484,1686921,9104405
Rajasthan,23882968,6234866,30117834
Sikkim,481112,143887,624999
Tamil Nadu,17004414,3723525,20727939
Telangana,11038921,2804295,13843216
Tripura,2190422,731158,2921580
Uttar Pradesh,36710535,7103218,43813753
Uttarakhand,4195487,1303123,5498610
West Bengal,19262049,8079439,27341488
